original_index,original_class,success,boundary_x1,boundary_x2,distance,method,neutrality,proximity_l2,flip_correct
333,1.0,False,1.0373496,3.9040103,0.70711285,fgsm,,,False
334,0.0,False,-1.1500852,1.3504288,0.7071062,fgsm,,,False
335,1.0,False,1.7673342,1.2258856,0.7071061,fgsm,,,False
336,1.0,False,4.2932897,4.1345143,0.707123,fgsm,,,False
337,1.0,False,2.1953201,0.27658427,0.7071061,fgsm,,,False
338,0.0,False,-3.6047668,0.33892122,0.70710814,fgsm,,,False
339,0.0,False,-3.3262377,1.2267269,0.7071062,fgsm,,,False
340,0.0,False,-1.4686645,0.8379034,0.7071061,fgsm,,,False
341,0.0,False,-1.7756371,-1.0226438,0.7071061,fgsm,,,False
342,1.0,False,2.5852716,2.1190925,0.7071061,fgsm,,,False
343,0.0,False,-2.6478903,-1.603939,0.7071061,fgsm,,,False
344,0.0,False,-4.1463575,0.8479414,0.7071145,fgsm,,,False
345,1.0,False,2.6145153,2.0960293,0.7071061,fgsm,,,False
346,1.0,False,3.9555728,2.887709,0.7071137,fgsm,,,False
347,1.0,False,4.0719347,0.84571147,0.7071145,fgsm,,,False
348,0.0,False,-1.0675892,1.7989861,0.7071061,fgsm,,,False
349,0.0,False,-2.4916425,-0.3185379,0.7071061,fgsm,,,False
350,1.0,False,4.4047523,2.5793242,0.7071145,fgsm,,,False
351,1.0,False,3.7023325,2.7286818,0.70710945,fgsm,,,False
352,1.0,False,2.999771,0.8700932,0.7071061,fgsm,,,False
353,1.0,False,3.7383072,4.099206,0.7071184,fgsm,,,False
354,0.0,False,-2.9747412,-1.5213797,0.7071061,fgsm,,,False
355,0.0,False,-3.5172904,1.7897624,0.7071063,fgsm,,,False
356,1.0,False,3.851116,1.2822489,0.707112,fgsm,,,False
357,0.0,False,-1.9931314,1.3308061,0.7071061,fgsm,,,False
358,0.0,False,-3.3100688,2.5970328,0.7071061,fgsm,,,False
359,1.0,False,2.5284379,0.5432807,0.7071061,fgsm,,,False
360,1.0,False,5.015255,1.5144525,0.7071145,fgsm,,,False
361,0.0,False,-1.113451,3.0719204,0.7071061,fgsm,,,False
362,0.0,False,-2.321358,0.56294054,0.7071063,fgsm,,,False
363,0.0,False,-3.0800664,0.5439604,0.7071063,fgsm,,,False
364,1.0,False,4.110161,1.0696437,0.7071145,fgsm,,,False
365,0.0,False,-1.5706131,1.8658324,0.7071061,fgsm,,,False
366,1.0,False,3.2553623,1.4795896,0.7071061,fgsm,,,False
367,0.0,False,-0.50471866,1.4359223,0.7071062,fgsm,,,False
368,0.0,False,-2.1396677,0.13314398,0.7071064,fgsm,,,False
369,0.0,False,-3.2720468,-0.32934237,0.7071061,fgsm,,,False
370,0.0,False,-2.5499887,1.3452139,0.7071062,fgsm,,,False
371,0.0,False,-0.73304987,1.2232136,0.7071061,fgsm,,,False
372,1.0,False,3.932772,1.7327378,0.7071134,fgsm,,,False
373,1.0,False,3.7326982,0.22492494,0.70711005,fgsm,,,False
374,1.0,False,3.9154227,1.8480136,0.707113,fgsm,,,False
375,1.0,False,3.374557,1.135541,0.7071061,fgsm,,,False
376,1.0,False,3.9638453,0.36818922,0.70711386,fgsm,,,False
377,1.0,False,3.7177613,1.612118,0.70710963,fgsm,,,False
378,0.0,False,-1.4811628,-1.7555883,0.7071061,fgsm,,,False
379,1.0,False,2.5909686,0.8971292,0.7071061,fgsm,,,False
380,1.0,False,2.5865636,1.5405276,0.7071061,fgsm,,,False
381,1.0,False,5.292098,3.2871737,0.7071145,fgsm,,,False
382,0.0,False,-1.3178711,-0.7433969,0.7071061,fgsm,,,False
383,1.0,False,3.8114474,2.3101187,0.70711136,fgsm,,,False
384,0.0,False,-3.5033388,1.0790551,0.7071061,fgsm,,,False
385,1.0,False,3.9753163,3.1204739,0.70711404,fgsm,,,False
386,1.0,False,3.5312493,1.5495946,0.7071066,fgsm,,,False
